species,longitude,latitude
Phrynobatrachus auritus,10.38,-3.04
Phrynobatrachus auritus,10.38,-3.04
Phrynobatrachus auritus,10.38,-3.04
Phrynobatrachus auritus,10.38,-3.04
Phrynobatrachus auritus,10.38,-3.04
Phrynobatrachus auritus,10.38,-3.04
Phrynobatrachus auritus,10.37,-3.03
Phrynobatrachus auritus,10.36,-3.02
Phrynobatrachus auritus,10.36,-3.02
Phrynobatrachus auritus,10.35,-3.02
Phrynobatrachus auritus,10.36,-3.02
Phrynobatrachus auritus,10.34,-3
Phrynobatrachus auritus,10.34,-3
Phrynobatrachus auritus,10.34,-3
Phrynobatrachus auritus,10.34,-3
Phrynobatrachus auritus,10,-2.77
Phrynobatrachus auritus,10,-2.77
Phrynobatrachus auritus,10,-2.77
Phrynobatrachus auritus,13.72,-2.49
Phrynobatrachus auritus,13.72,-2.49
Phrynobatrachus auritus,13.72,-2.49
Phrynobatrachus auritus,13.72,-2.49
Phrynobatrachus auritus,13.72,-2.49
Phrynobatrachus auritus,13.72,-2.49
Phrynobatrachus auritus,13.72,-2.49
Phrynobatrachus auritus,13.72,-2.49
Phrynobatrachus auritus,9.64,-2.34
Phrynobatrachus auritus,9.64,-2.34
Phrynobatrachus auritus,9.64,-2.34
Phrynobatrachus auritus,13.66,-2.33
Phrynobatrachus auritus,13.66,-2.33
Phrynobatrachus auritus,13.66,-2.33
Phrynobatrachus auritus,13.66,-2.33
Phrynobatrachus auritus,13.66,-2.32
Phrynobatrachus auritus,13.66,-2.32
Phrynobatrachus auritus,13.66,-2.32
Phrynobatrachus auritus,12.13,-2.08
Phrynobatrachus auritus,13.9,-1.89
Phrynobatrachus auritus,11.82,-1.17
Phrynobatrachus auritus,12.67,-0.87
Phrynobatrachus auritus,10.78,-0.18
Phrynobatrachus auritus,25.62,0.13
Phrynobatrachus auritus,25.62,0.13
Phrynobatrachus auritus,25.63,0.14
Phrynobatrachus auritus,29.73,0.33
Phrynobatrachus auritus,30.4,0.43
Phrynobatrachus auritus,30.4,0.43
Phrynobatrachus auritus,10.28,0.45
Phrynobatrachus auritus,30.52,0.55
Phrynobatrachus auritus,25.93,0.56
Phrynobatrachus auritus,30.35,0.57
Phrynobatrachus auritus,30.35,0.57
Phrynobatrachus auritus,10.4,0.63
Phrynobatrachus auritus,30.4,0.65
Phrynobatrachus auritus,12.7,1.15
Phrynobatrachus auritus,12.7,1.15
Phrynobatrachus auritus,12.7,1.15
Phrynobatrachus auritus,12.7,1.15
Phrynobatrachus auritus,12.7,1.15
Phrynobatrachus auritus,12.7,1.15
Phrynobatrachus auritus,12.7,1.15
Phrynobatrachus auritus,12.7,1.15
Phrynobatrachus auritus,12.7,1.15
Phrynobatrachus auritus,12.7,1.15
Phrynobatrachus auritus,30.47,1.23
Phrynobatrachus auritus,28.58,1.4
Phrynobatrachus auritus,17.94,1.51
Phrynobatrachus auritus,17.94,1.51
Phrynobatrachus auritus,17.94,1.51
Phrynobatrachus auritus,17.94,1.51
Phrynobatrachus auritus,30.07,2.03
Phrynobatrachus auritus,9.86,2.37
Phrynobatrachus auritus,9.93,2.75
Phrynobatrachus auritus,10.53,2.78
Phrynobatrachus auritus,11.98,2.93
Phrynobatrachus auritus,11.98,2.93
Phrynobatrachus auritus,11.98,2.93
Phrynobatrachus auritus,11.98,2.93
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
Phrynobatrachus auritus,11.97,2.98
