distance,weights,s1.xCoord,s1.yCoord,s2.xCoord,s2.yCoord,s1.bio01,s1.bio04,s1.bio12,s1.bio15,s1.bio19,s1.matrix_1,s1.matrix_2,s1.matrix_3,s1.matrix_4,s2.bio01,s2.bio04,s2.bio12,s2.bio15,s2.bio19,s2.matrix_1,s2.matrix_2,s2.matrix_3,s2.matrix_4
0.14455,1,10.2125,2.4875,13.90416667,-1.929166667,24.82083321,86.77186584,2326,60.54434967,571,0,0,0,0,24.24166679,79.22446442,1905,58.84806824,63,18.26909748,18.2340765,0.513152962,0.483069192
0.24258,1,10.2125,2.4875,10.4875,-3.104166667,24.82083321,86.77186584,2326,60.54434967,571,0,0,0,0,25.50416756,150.8078003,1549,78.54234314,9,13.04322548,13.0124021,0.594352394,0.554128478
0.059556,1,12.9375,1.2125,10.6875,1.054166667,23.98333359,86.74236298,1611,58.91916656,163,0,0,0,0,22.47916603,89.65738678,2210,60.63789368,108,12.31632813,12.30238334,0.335630518,0.305183935
0.13022,1,12.9375,1.2125,11.90416667,-0.579166667,23.98333359,86.74236298,1611,58.91916656,163,0,0,0,0,25.10416603,99.94220734,1738,69.71258545,33,11.38996744,11.36900574,0.385309613,0.372569076
0.10787,1,12.9375,1.2125,13.90416667,-1.929166667,23.98333359,86.74236298,1611,58.91916656,163,0,0,0,0,24.24166679,79.22446442,1905,58.84806824,63,15.92963398,15.90771584,0.510707059,0.480945268
0.23411,1,12.9375,1.2125,10.4875,-3.104166667,23.98333359,86.74236298,1611,58.91916656,163,0,0,0,0,25.50416756,150.8078003,1549,78.54234314,9,10.71627449,10.69828027,0.593725393,0.553447287
0.10876,1,10.6875,1.054166667,11.90416667,-0.579166667,22.47916603,89.65738678,2210,60.63789368,108,0,0,0,0,25.10416603,99.94220734,1738,69.71258545,33,15.04860493,15.03861686,0.344957742,0.315645714
0.10826,1,10.6875,1.054166667,13.90416667,-1.929166667,22.47916603,89.65738678,2210,60.63789368,108,0,0,0,0,24.24166679,79.22446442,1905,58.84806824,63,18.49676597,18.48759294,0.414137405,0.367431804
0.20809,1,10.6875,1.054166667,10.4875,-3.104166667,22.47916603,89.65738678,2210,60.63789368,108,0,0,0,0,25.50416756,150.8078003,1549,78.54234314,9,13.28477999,13.2792152,0.500380355,0.442472105
0.083429,1,11.90416667,-0.579166667,13.90416667,-1.929166667,25.10416603,99.94220734,1738,69.71258545,33,0,0,0,0,24.24166679,79.22446442,1905,58.84806824,63,17.67251194,17.65468877,0.479830025,0.454478555
0.16052,1,11.90416667,-0.579166667,10.4875,-3.104166667,25.10416603,99.94220734,1738,69.71258545,33,0,0,0,0,25.50416756,150.8078003,1549,78.54234314,9,12.49873772,12.4850897,0.562108684,0.526382093
0.18847,1,13.90416667,-1.929166667,10.4875,-3.104166667,24.24166679,79.22446442,1905,58.84806824,63,0,0,0,0,25.50416756,150.8078003,1549,78.54234314,9,12.03440496,12.03122816,0.395362724,0.351824055
