Site,CM,EF,GC,KS,LP,MC,MK,ND,TM
CM,0,0.333851716,0.350135118,0.362410435,0.34544867,0.213476758,0.333474562,0.340809087,0.429527256
EF,0.333851716,0,0.513499471,0.513742004,0.510084928,0.41075967,0.480584691,0.296965177,0.386450938
GC,0.350135118,0.513499471,0,0.311966045,0.330243947,0.341311015,0.395217176,0.513961351,0.59658506
KS,0.362410435,0.513742004,0.311966045,0,0.349834759,0.363121767,0.383463789,0.513152962,0.594352394
LP,0.34544867,0.510084928,0.330243947,0.349834759,0,0.335630518,0.385309613,0.510707059,0.593725393
MC,0.213476758,0.41075967,0.341311015,0.363121767,0.335630518,0,0.344957742,0.414137405,0.500380355
MK,0.333474562,0.480584691,0.395217176,0.383463789,0.385309613,0.344957742,0,0.479830025,0.562108684
ND,0.340809087,0.296965177,0.513961351,0.513152962,0.510707059,0.414137405,0.479830025,0,0.395362724
TM,0.429527256,0.386450938,0.59658506,0.594352394,0.593725393,0.500380355,0.562108684,0.395362724,0
