Site,CM,EF,GC,KS,LP,MC,MK,ND,TM
CM,0,5.972504828,6.197423057,11.3587075,8.827657502,11.07871742,11.05656654,12.42898611,7.157337037
EF,5.972504828,0,7.263844888,12.16458623,9.782438807,12.27133493,11.6586531,10.55372663,5.702158691
GC,6.197423057,7.263844888,0,8.216060307,6.063125561,9.723029246,9.46401244,13.42796678,8.2083044
KS,11.3587075,12.16458623,8.216060307,0,10.7657996,15.10695885,13.61793351,18.2340765,13.0124021
LP,8.827657502,9.782438807,6.063125561,10.7657996,0,12.30238334,11.36900574,15.90771584,10.69828027
MC,11.07871742,12.27133493,9.723029246,15.10695885,12.30238334,0,15.03861686,18.48759294,13.2792152
MK,11.05656654,11.6586531,9.46401244,13.61793351,11.36900574,15.03861686,0,17.65468877,12.4850897
ND,12.42898611,10.55372663,13.42796678,18.2340765,15.90771584,18.48759294,17.65468877,0,12.03122816
TM,7.157337037,5.702158691,8.2083044,13.0124021,10.69828027,13.2792152,12.4850897,12.03122816,0
