Site,CM,EF,GC,KS,LP,MC,MK,ND,TM
CM,0,5.973629826,6.203620622,11.38884237,8.842807452,11.08167888,11.06757599,12.4336567,7.158941009
EF,5.973629826,0,7.272218762,12.19566303,9.799942717,12.27632512,11.67187765,10.55589636,5.702605812
GC,6.203620622,7.272218762,0,8.243481234,6.076317112,9.728873884,9.477490275,13.44062755,8.217108276
KS,11.38884237,12.19566303,8.243481234,0,10.80639337,15.13808353,13.64918513,18.26909748,13.04322548
LP,8.842807452,9.799942717,6.076317112,10.80639337,0,12.31632813,11.38996744,15.92963398,10.71627449
MC,11.08167888,12.27632512,9.728873884,15.13808353,12.31632813,0,15.04860493,18.49676597,13.28477999
MK,11.06757599,11.67187765,9.477490275,13.64918513,11.38996744,15.04860493,0,17.67251194,12.49873772
ND,12.4336567,10.55589636,13.44062755,18.26909748,15.92963398,18.49676597,17.67251194,0,12.03440496
TM,7.158941009,5.702605812,8.217108276,13.04322548,10.71627449,13.28477999,12.49873772,12.03440496,0
